,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
34,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,176cm,73kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
35,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,180cm,95kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
36,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,여자,167cm,48kg,큼,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
37,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,184cm,100kg,큼,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
38,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,175cm,67kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,M
39,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,180cm,85kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
40,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,176cm,71kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
41,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,173cm,71kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
42,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,181cm,71kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
43,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,164cm,58kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,S
44,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,170cm,70kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
45,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,165cm,59kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,S
46,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,여자,169cm,57kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,S
47,(기모) 유니섹스 세미 와이드 밴딩 슬랙스 겨울 그레이,남자,173cm,75kg,적당함,//image.msscdn.net/images/goods_img/20201209/1717388/1717388_1_500.jpg,L
