,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
44,보아 집업 자켓 아이보리,남자,173cm,70kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
45,보아 집업 자켓 아이보리,여자,153cm,40kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
46,보아 집업 자켓 아이보리,여자,153cm,40kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
47,보아 집업 자켓 아이보리,여자,162cm,52kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
48,보아 집업 자켓 아이보리,여자,165cm,45kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
49,보아 집업 자켓 아이보리,남자,184cm,70kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
50,보아 집업 자켓 아이보리,여자,161cm,56kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
51,보아 집업 자켓 아이보리,남자,175cm,70kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
52,보아 집업 자켓 아이보리,남자,167cm,70kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
53,보아 집업 자켓 아이보리,여자,160cm,55kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
54,보아 집업 자켓 아이보리,여자,166cm,58kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
55,보아 집업 자켓 아이보리,여자,158cm,49kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
56,보아 집업 자켓 아이보리,여자,161cm,48kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
57,보아 집업 자켓 아이보리,여자,168cm,51kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,M
58,보아 집업 자켓 아이보리,남자,180cm,85kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
59,보아 집업 자켓 아이보리,남자,165cm,53kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
60,보아 집업 자켓 아이보리,남자,175cm,70kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
61,보아 집업 자켓 아이보리,여자,153cm,45kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
62,보아 집업 자켓 아이보리,남자,170cm,65kg,큼,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
63,보아 집업 자켓 아이보리,여자,162cm,44kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,S
64,보아 집업 자켓 아이보리,남자,178cm,65kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
65,보아 집업 자켓 아이보리,남자,183cm,74kg,적당함,//image.msscdn.net/images/goods_img/20200909/1593072/1593072_3_500.jpg,L
