,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
0,브러쉬 스트라이프 니트_블랙/화이트,남자,182cm,62kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
1,브러쉬 스트라이프 니트_블랙/화이트,여자,160cm,60kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
2,브러쉬 스트라이프 니트_블랙/화이트,남자,180cm,76kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
3,브러쉬 스트라이프 니트_블랙/화이트,남자,165cm,65kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
4,브러쉬 스트라이프 니트_블랙/화이트,남자,177cm,59kg,큼,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
5,브러쉬 스트라이프 니트_블랙/화이트,남자,182cm,80kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
6,브러쉬 스트라이프 니트_블랙/화이트,남자,181cm,63kg,작음,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
7,브러쉬 스트라이프 니트_블랙/화이트,남자,175cm,75kg,큼,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
8,브러쉬 스트라이프 니트_블랙/화이트,남자,175cm,48kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
9,브러쉬 스트라이프 니트_블랙/화이트,남자,173cm,74kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
10,브러쉬 스트라이프 니트_블랙/화이트,남자,165cm,50kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
11,브러쉬 스트라이프 니트_블랙/화이트,여자,159cm,52kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
12,브러쉬 스트라이프 니트_블랙/화이트,남자,176cm,68kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
13,브러쉬 스트라이프 니트_블랙/화이트,여자,170cm,60kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
14,브러쉬 스트라이프 니트_블랙/화이트,남자,180cm,78kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
15,브러쉬 스트라이프 니트_블랙/화이트,남자,173cm,60kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
16,브러쉬 스트라이프 니트_블랙/화이트,남자,164cm,45kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
17,브러쉬 스트라이프 니트_블랙/화이트,여자,170cm,58kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
18,브러쉬 스트라이프 니트_블랙/화이트,여자,162cm,60kg,큼,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
19,브러쉬 스트라이프 니트_블랙/화이트,여자,158cm,49kg,큼,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
20,브러쉬 스트라이프 니트_블랙/화이트,남자,168cm,59kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
21,브러쉬 스트라이프 니트_블랙/화이트,남자,180cm,73kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
22,브러쉬 스트라이프 니트_블랙/화이트,남자,178cm,62kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
23,브러쉬 스트라이프 니트_블랙/화이트,남자,170cm,60kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
24,브러쉬 스트라이프 니트_블랙/화이트,남자,183cm,85kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
25,브러쉬 스트라이프 니트_블랙/화이트,남자,162cm,77kg,큼,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
26,브러쉬 스트라이프 니트_블랙/화이트,남자,171cm,58kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
27,브러쉬 스트라이프 니트_블랙/화이트,남자,188cm,67kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
28,브러쉬 스트라이프 니트_블랙/화이트,남자,169cm,59kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
29,브러쉬 스트라이프 니트_블랙/화이트,남자,180cm,82kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
30,브러쉬 스트라이프 니트_블랙/화이트,여자,162cm,45kg,적당함,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,M
31,브러쉬 스트라이프 니트_블랙/화이트,여자,165cm,70kg,큼,//image.msscdn.net/images/goods_img/20210913/2126198/2126198_4_500.jpg,L
