,제품명,성별,키,몸무게,핏,이미지링크,구매사이즈
44,성조기 코튼 니트 네이비,남자,180cm,84kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
45,성조기 코튼 니트 네이비,여자,161cm,46kg,큼,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,S
46,성조기 코튼 니트 네이비,남자,173cm,63kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
47,성조기 코튼 니트 네이비,남자,183cm,90kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
48,성조기 코튼 니트 네이비,남자,165cm,56kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,M
49,성조기 코튼 니트 네이비,남자,172cm,64kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
50,성조기 코튼 니트 네이비,남자,173cm,75kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,M
51,성조기 코튼 니트 네이비,남자,178cm,70kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
52,성조기 코튼 니트 네이비,남자,173cm,78kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
53,성조기 코튼 니트 네이비,남자,179cm,69kg,적당함,//image.msscdn.net/images/goods_img/20220830/2754253/2754253_2_500.jpg,L
